
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
B4:63:6F:F8:37:E6, 2024-10-12 22:21:15, 2024-10-12 22:22:13,  6, 324, WPA2, CCMP TKIP, PSK, -70,      100,        0,   0.  0.  0.  0,   5, 61N3F, 
C8:EA:F8:D7:90:01, 2024-10-12 22:21:15, 2024-10-12 22:22:12,  6,  65, WPA2, CCMP, PSK, -90,       10,        0,   0.  0.  0.  0,  10, ZTE_D79001, 
B6:63:6F:48:37:E6, 2024-10-12 22:21:15, 2024-10-12 22:22:13,  6, 324, WPA2, CCMP, PSK, -70,      102,        0,   0.  0.  0.  0,   0, , 
9C:65:EE:85:4D:37, 2024-10-12 22:21:15, 2024-10-12 22:22:14,  6, 130, WPA2, CCMP TKIP, PSK, -31,      276,        8,   0.  0.  0.  0,   8, chinglan, 
A0:2E:F3:01:5C:37, 2024-10-12 22:21:15, 2024-10-12 22:22:13,  1, 135, WPA2, CCMP, PSK, -92,        9,        0,   0.  0.  0.  0,  10, 5052036276, 
AC:20:2E:B6:54:08, 2024-10-12 22:21:15, 2024-10-12 22:22:13, 11, 130, WPA2, CCMP TKIP, PSK, -67,       96,        5,   0.  0.  0.  0,   5, z9899, 
D0:C6:5B:08:F8:88, 2024-10-12 22:21:16, 2024-10-12 22:22:15,  9, 130, WPA2 WPA, CCMP, PSK, -75,       55,        1,   0.  0.  0.  0,  15, HUANG TZU-CHUAN, 
F0:87:56:F5:34:E1, 2024-10-12 22:21:16, 2024-10-12 22:22:14,  8, 130, WPA2, CCMP, PSK, -90,       28,        0,   0.  0.  0.  0,  11, Vegan house, 
50:64:2B:6A:14:45, 2024-10-12 22:21:16, 2024-10-12 22:22:10,  8, 130, WPA2, CCMP TKIP, PSK, -88,       12,        0,   0.  0.  0.  0,  14, michael5110507, 
F0:2F:74:8F:89:A0, 2024-10-12 22:21:17, 2024-10-12 22:21:42,  9,  -1, WPA, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
5C:92:5E:11:06:E4, 2024-10-12 22:21:17, 2024-10-12 22:22:08,  4, 270, WPA2, CCMP TKIP, PSK, -89,       11,        0,   0.  0.  0.  0,   4, Andy, 
EC:41:18:E8:40:56, 2024-10-12 22:21:17, 2024-10-12 22:22:11, 10, 130, WPA2, CCMP TKIP, PSK, -92,       20,        0,   0.  0.  0.  0,  11, Xiaomi_4055, 
D2:C0:BF:93:52:EB, 2024-10-12 22:21:17, 2024-10-12 22:22:13, 11, 135, WPA2, CCMP, PSK, -74,      106,        0,   0.  0.  0.  0,  19, Mirascreen BF9352EB, 
A6:F0:5E:E4:E3:71, 2024-10-12 22:21:18, 2024-10-12 22:22:12, 11,  65, WPA2, CCMP, PSK, -82,       49,        0,   0.  0.  0.  0,   9, OPPO AX5s, 
A0:A3:F0:3C:9F:EF, 2024-10-12 22:21:18, 2024-10-12 22:22:13,  1, 270, WPA2, CCMP, PSK, -89,       28,        0,   0.  0.  0.  0,   7, Joker2g, 
74:90:BC:65:8E:C0, 2024-10-12 22:21:18, 2024-10-12 22:22:12, 11, 648, WPA3 WPA2, CCMP, SAE PSK, -86,       29,        0,   0.  0.  0.  0,   4, 1N4F, 
76:90:BC:25:8E:C0, 2024-10-12 22:21:18, 2024-10-12 22:22:12, 11, 648, WPA3 WPA2, CCMP, SAE PSK, -86,       32,        0,   0.  0.  0.  0,   0, , 
DC:36:0C:B5:8F:28, 2024-10-12 22:21:18, 2024-10-12 22:22:12, 11, 720, WPA2, CCMP, PSK, -87,       25,        0,   0.  0.  0.  0,  10, 53N1F-2.4G, 
F0:F2:49:71:10:78, 2024-10-12 22:21:18, 2024-10-12 22:22:12,  6, 130, WPA2, CCMP TKIP, PSK, -86,       27,        0,   0.  0.  0.  0,  11, HITRON-1070, 
A2:9D:7E:7D:6E:54, 2024-10-12 22:21:18, 2024-10-12 22:22:12,  6, 720, OPN, ,   , -86,       13,        0,   0.  0.  0.  0,   0, , 
84:A3:29:05:D2:BC, 2024-10-12 22:21:18, 2024-10-12 22:22:03,  1, 648, WPA3 WPA2, CCMP, SAE PSK, -94,       12,        0,   0.  0.  0.  0,   6, hidome, 
86:A3:29:21:58:38, 2024-10-12 22:21:19, 2024-10-12 22:22:13,  1, 648, WPA3 WPA2, CCMP, SAE PSK, -89,        8,        0,   0.  0.  0.  0,   0, , 
24:43:E2:84:77:70, 2024-10-12 22:21:19, 2024-10-12 22:22:14,  2, 130, WPA2, CCMP TKIP, PSK, -88,       19,        0,   0.  0.  0.  0,  11, shihwei2.4G, 
9C:9D:7E:7D:6E:54, 2024-10-12 22:21:22, 2024-10-12 22:22:05,  6, 720, WPA2, CCMP, PSK, -87,        6,        1,   0.  0.  0.  0,   6, albee3, 
AC:B6:87:E1:81:B9, 2024-10-12 22:21:26, 2024-10-12 22:21:55,  1, 720, WPA2, CCMP, PSK, -89,        0,        0,   0.  0.  0.  0,   5, rovsa, 
14:4D:67:62:52:D8, 2024-10-12 22:21:27, 2024-10-12 22:22:14,  8, 270, WPA2, CCMP, PSK, -91,       16,        0,   0.  0.  0.  0,   4, BOSS, 
68:DB:67:7C:9A:B6, 2024-10-12 22:21:30, 2024-10-12 22:22:02,  7, 135, WPA2, CCMP, PSK, -90,        4,        0,   0.  0.  0.  0,  12, DCTV_2GH1UK6, 
86:A3:29:25:D2:BC, 2024-10-12 22:21:37, 2024-10-12 22:22:02,  1, 648, WPA3 WPA2, CCMP, SAE PSK, -92,        7,        0,   0.  0.  0.  0,   0, , 
50:D4:F7:80:61:DA, 2024-10-12 22:21:48, 2024-10-12 22:21:48,  2, 260, WPA2, CCMP TKIP, PSK, -91,        1,        0,   0.  0.  0.  0,  12, Abel_WNet_1F, 
74:DA:DA:94:55:D2, 2024-10-12 22:21:59, 2024-10-12 22:21:59,  2,  -1, WPA, ,   , -86,        0,        1,   0.  0.  0.  0,   0, , 
5C:92:5E:36:24:1C, 2024-10-12 22:22:13, 2024-10-12 22:22:13,  1, 270, WPA2, CCMP TKIP, PSK, -88,        1,        0,   0.  0.  0.  0,  15, TEAM CHANG-2.4G, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
16:84:C4:D7:53:DE, 2024-10-12 22:21:15, 2024-10-12 22:21:15, -80,        1, (not associated) ,
C2:F7:2A:0E:A1:F8, 2024-10-12 22:21:15, 2024-10-12 22:21:15, -77,        1, (not associated) ,
FA:90:A2:24:87:95, 2024-10-12 22:21:15, 2024-10-12 22:22:13, -80,       97, AC:20:2E:B6:54:08,
52:27:58:CD:85:6D, 2024-10-12 22:21:17, 2024-10-12 22:21:31, -74,        6, D0:C6:5B:08:F8:88,
94:E0:D6:63:AD:EC, 2024-10-12 22:21:17, 2024-10-12 22:21:42, -89,        4, F0:2F:74:8F:89:A0,
1A:E5:F5:8F:6E:F9, 2024-10-12 22:21:17, 2024-10-12 22:21:40, -29,       11, 9C:65:EE:85:4D:37,
2C:C3:E6:50:91:02, 2024-10-12 22:21:19, 2024-10-12 22:21:39, -64,        5, (not associated) ,
E6:A6:E4:7B:F0:CC, 2024-10-12 22:21:20, 2024-10-12 22:22:07, -83,        5, D0:C6:5B:08:F8:88,
5C:E5:0C:87:98:54, 2024-10-12 22:21:22, 2024-10-12 22:22:05,  -1,        3, 9C:9D:7E:7D:6E:54,
5C:E5:0C:39:77:40, 2024-10-12 22:21:23, 2024-10-12 22:22:12, -84,        5, (not associated) ,sasa
9A:46:D8:13:55:C7, 2024-10-12 22:21:23, 2024-10-12 22:21:24, -84,        2, (not associated) ,
92:2E:30:D1:B6:47, 2024-10-12 22:21:24, 2024-10-12 22:21:34, -86,        5, D0:C6:5B:08:F8:88,
E2:7B:0B:53:27:D1, 2024-10-12 22:21:24, 2024-10-12 22:21:24, -86,        1, D0:C6:5B:08:F8:88,
6E:AD:74:1C:F2:F0, 2024-10-12 22:21:25, 2024-10-12 22:22:08, -30,       18, 9C:65:EE:85:4D:37,
E4:AA:EC:9F:02:37, 2024-10-12 22:21:29, 2024-10-12 22:21:50, -77,        2, 9C:9D:7E:7D:6E:54,
2A:96:97:67:6B:B4, 2024-10-12 22:21:29, 2024-10-12 22:21:41, -32,        4, 9C:65:EE:85:4D:37,
B4:BF:F6:E5:36:23, 2024-10-12 22:21:29, 2024-10-12 22:22:03, -83,       10, 84:A3:29:05:D2:BC,
24:2F:D0:10:D3:1E, 2024-10-12 22:21:36, 2024-10-12 22:22:12, -35,        2, 9C:65:EE:85:4D:37,
9A:FC:90:64:B5:52, 2024-10-12 22:21:36, 2024-10-12 22:21:37, -83,        4, (not associated) ,
10:3D:1C:DE:F0:62, 2024-10-12 22:21:42, 2024-10-12 22:21:42, -39,        1, (not associated) ,
AA:D6:7A:D9:22:DE, 2024-10-12 22:21:46, 2024-10-12 22:21:47, -80,        7, (not associated) ,
22:CF:A5:AA:B7:B3, 2024-10-12 22:21:47, 2024-10-12 22:21:47, -85,        1, (not associated) ,
1A:F3:2B:7D:3E:B3, 2024-10-12 22:21:55, 2024-10-12 22:21:55, -77,        2, (not associated) ,
A0:A3:F0:3C:9F:EF, 2024-10-12 22:21:57, 2024-10-12 22:21:57, -86,        1, (not associated) ,
8A:9B:92:2A:7B:98, 2024-10-12 22:21:57, 2024-10-12 22:21:58, -75,        8, (not associated) ,
2A:79:00:94:EC:9D, 2024-10-12 22:22:01, 2024-10-12 22:22:01, -88,        1, (not associated) ,some1
7A:B7:BE:A2:46:2C, 2024-10-12 22:22:04, 2024-10-12 22:22:04, -62,        1, (not associated) ,
74:F6:1C:25:C8:03, 2024-10-12 22:22:05, 2024-10-12 22:22:05, -91,        2, A6:F0:5E:E4:E3:71,
D0:C0:BF:93:52:EB, 2024-10-12 22:22:06, 2024-10-12 22:22:07, -80,        3, (not associated) ,
AC:20:2E:B6:54:08, 2024-10-12 22:22:11, 2024-10-12 22:22:12, -67,        2, (not associated) ,1
F0:F2:49:9B:DE:98, 2024-10-12 22:22:14, 2024-10-12 22:22:14, -90,        1, (not associated) ,1

